# t      x1       y1       x2       y2       x3       y3      
0.001    -1.002   0.005    1.003    -0.004   -0.001   -0.001  


0.010    -0.999   0.010    1.006    0.001    -0.007   -0.011  


0.032    -0.991   0.021    1.013    0.013    -0.022   -0.034  


0.061    -0.979   0.037    1.022    0.028    -0.043   -0.065  


0.095    -0.963   0.054    1.030    0.046    -0.067   -0.100  


0.125    -0.948   0.070    1.037    0.062    -0.089   -0.132  


0.153    -0.934   0.084    1.042    0.076    -0.109   -0.160  


0.179    -0.918   0.097    1.047    0.090    -0.129   -0.187  


0.204    -0.903   0.109    1.050    0.102    -0.148   -0.211  


0.227    -0.887   0.120    1.053    0.114    -0.166   -0.235  


0.250    -0.871   0.131    1.056    0.126    -0.185   -0.257  


0.272    -0.855   0.140    1.058    0.137    -0.203   -0.277  


0.293    -0.838   0.149    1.059    0.147    -0.221   -0.297  


0.314    -0.821   0.157    1.060    0.158    -0.239   -0.315  


0.334    -0.804   0.165    1.061    0.167    -0.256   -0.332  


0.354    -0.787   0.172    1.061    0.177    -0.274   -0.349  


0.374    -0.769   0.178    1.061    0.187    -0.292   -0.365  


0.393    -0.751   0.184    1.061    0.196    -0.310   -0.380  


0.411    -0.734   0.189    1.061    0.204    -0.327   -0.393  


0.428    -0.717   0.193    1.060    0.212    -0.343   -0.405  


0.444    -0.700   0.197    1.059    0.220    -0.359   -0.416  


0.460    -0.684   0.199    1.058    0.227    -0.374   -0.427  


0.475    -0.668   0.202    1.057    0.234    -0.389   -0.436  


0.489    -0.653   0.204    1.056    0.241    -0.403   -0.444  


0.503    -0.638   0.205    1.055    0.247    -0.417   -0.452  


0.517    -0.623   0.206    1.054    0.253    -0.431   -0.459  


0.530    -0.608   0.207    1.052    0.259    -0.444   -0.466  


0.543    -0.593   0.207    1.051    0.265    -0.457   -0.472  


0.556    -0.579   0.207    1.049    0.271    -0.470   -0.478  


0.568    -0.565   0.206    1.047    0.277    -0.483   -0.483  


0.581    -0.550   0.206    1.046    0.282    -0.496   -0.488  


0.594    -0.535   0.205    1.044    0.288    -0.508   -0.492  


0.606    -0.520   0.203    1.042    0.294    -0.521   -0.497  


0.620    -0.505   0.201    1.039    0.299    -0.535   -0.501  


0.633    -0.489   0.199    1.037    0.305    -0.548   -0.504  


0.647    -0.473   0.197    1.034    0.311    -0.561   -0.508  


0.661    -0.456   0.194    1.032    0.317    -0.575   -0.511  


0.675    -0.439   0.190    1.029    0.323    -0.589   -0.514  


0.690    -0.422   0.186    1.025    0.330    -0.603   -0.516  


0.704    -0.404   0.182    1.022    0.336    -0.617   -0.518  


0.720    -0.387   0.177    1.018    0.342    -0.632   -0.519  


0.735    -0.368   0.172    1.014    0.349    -0.646   -0.520  


0.751    -0.349   0.166    1.010    0.355    -0.661   -0.521  


0.768    -0.330   0.159    1.006    0.362    -0.676   -0.521  


0.785    -0.310   0.152    1.001    0.369    -0.691   -0.521  


0.803    -0.289   0.144    0.995    0.376    -0.706   -0.520  


0.822    -0.266   0.135    0.989    0.384    -0.723   -0.519  


0.843    -0.242   0.124    0.982    0.393    -0.740   -0.517  


0.866    -0.216   0.113    0.974    0.401    -0.758   -0.514  


0.889    -0.190   0.100    0.965    0.410    -0.776   -0.511  


0.913    -0.162   0.087    0.956    0.419    -0.793   -0.506  


0.938    -0.135   0.073    0.945    0.428    -0.811   -0.501  


0.963    -0.106   0.058    0.934    0.438    -0.828   -0.495  


0.990    -0.076   0.042    0.921    0.447    -0.846   -0.488  


1.019    -0.044   0.024    0.907    0.456    -0.863   -0.481  


1.049    -0.010   0.006    0.891    0.466    -0.881   -0.472  


1.081    0.026    -0.014   0.873    0.476    -0.898   -0.462  


1.114    0.063    -0.035   0.853    0.485    -0.915   -0.451  


1.148    0.100    -0.055   0.831    0.494    -0.932   -0.439  


1.179    0.134    -0.073   0.811    0.501    -0.945   -0.428  


1.208    0.168    -0.090   0.790    0.507    -0.957   -0.417  


1.235    0.198    -0.104   0.770    0.512    -0.968   -0.407  


1.261    0.228    -0.118   0.750    0.516    -0.978   -0.397  


1.286    0.257    -0.131   0.729    0.518    -0.986   -0.387  


1.311    0.286    -0.143   0.709    0.520    -0.994   -0.378  


1.332    0.311    -0.152   0.690    0.521    -1.001   -0.369  


1.352    0.334    -0.160   0.673    0.521    -1.006   -0.361  


1.371    0.356    -0.168   0.656    0.521    -1.012   -0.353  


1.389    0.377    -0.174   0.639    0.520    -1.016   -0.345  


1.406    0.398    -0.180   0.623    0.518    -1.021   -0.338  


1.423    0.418    -0.185   0.607    0.516    -1.025   -0.331  


1.439    0.437    -0.190   0.591    0.514    -1.028   -0.324  


1.455    0.455    -0.193   0.576    0.511    -1.031   -0.318  


1.470    0.473    -0.197   0.561    0.508    -1.034   -0.311  


1.485    0.491    -0.200   0.546    0.504    -1.037   -0.305  


1.499    0.508    -0.202   0.532    0.500    -1.040   -0.298  


1.513    0.524    -0.204   0.518    0.496    -1.042   -0.292  


1.527    0.540    -0.205   0.504    0.491    -1.044   -0.286  


1.540    0.555    -0.206   0.491    0.486    -1.046   -0.280  


1.553    0.570    -0.207   0.478    0.481    -1.048   -0.274  


1.566    0.585    -0.207   0.465    0.475    -1.050   -0.269  


1.579    0.599    -0.207   0.452    0.470    -1.051   -0.263  


1.591    0.613    -0.206   0.439    0.464    -1.053   -0.257  


1.604    0.628    -0.206   0.426    0.457    -1.054   -0.251  


1.617    0.642    -0.205   0.414    0.450    -1.055   -0.246  


1.630    0.656    -0.203   0.400    0.443    -1.056   -0.239  


1.643    0.670    -0.201   0.387    0.435    -1.057   -0.233  


1.657    0.685    -0.199   0.374    0.426    -1.058   -0.227  


1.671    0.699    -0.197   0.360    0.417    -1.059   -0.220  


1.686    0.714    -0.194   0.346    0.407    -1.060   -0.214  


1.701    0.729    -0.190   0.331    0.397    -1.060   -0.207  


1.716    0.744    -0.186   0.317    0.385    -1.061   -0.199  


1.733    0.760    -0.181   0.301    0.373    -1.061   -0.191  


1.750    0.776    -0.176   0.285    0.359    -1.061   -0.183  


1.768    0.792    -0.170   0.269    0.344    -1.061   -0.174  


1.787    0.809    -0.163   0.252    0.328    -1.061   -0.165  


1.806    0.824    -0.156   0.235    0.312    -1.060   -0.156  


1.825    0.840    -0.148   0.219    0.295    -1.059   -0.146  


1.845    0.855    -0.140   0.203    0.277    -1.058   -0.137  


1.864    0.870    -0.132   0.186    0.258    -1.056   -0.127  


1.884    0.884    -0.122   0.170    0.239    -1.054   -0.117  


1.905    0.898    -0.113   0.154    0.219    -1.051   -0.106  


1.926    0.911    -0.103   0.137    0.198    -1.049   -0.096  


1.948    0.924    -0.092   0.121    0.176    -1.045   -0.084  


1.971    0.937    -0.080   0.104    0.153    -1.041   -0.073  


1.994    0.950    -0.068   0.086    0.129    -1.036   -0.060  


2.019    0.962    -0.055   0.068    0.102    -1.031   -0.047  


2.046    0.975    -0.041   0.049    0.075    -1.024   -0.033  


2.074    0.987    -0.026   0.029    0.044    -1.016   -0.018  


2.105    0.999    -0.010   0.008    0.012    -1.006   -0.002  


2.139    1.010    0.008    -0.016   -0.024   -0.994   0.016   


2.174    1.021    0.027    -0.041   -0.061   -0.980   0.035   


2.208    1.029    0.044    -0.065   -0.097   -0.965   0.053   


2.239    1.036    0.060    -0.087   -0.129   -0.950   0.068   


2.267    1.042    0.075    -0.107   -0.158   -0.935   0.083   


2.292    1.046    0.088    -0.126   -0.184   -0.920   0.096   


2.318    1.050    0.101    -0.146   -0.209   -0.904   0.108   


2.342    1.053    0.114    -0.165   -0.233   -0.888   0.119   


2.365    1.056    0.125    -0.184   -0.255   -0.872   0.130   


2.387    1.057    0.136    -0.202   -0.276   -0.856   0.140   


2.409    1.059    0.147    -0.220   -0.296   -0.839   0.149   


2.430    1.060    0.157    -0.238   -0.314   -0.822   0.157   


2.450    1.061    0.167    -0.256   -0.332   -0.805   0.165   


2.470    1.061    0.177    -0.273   -0.349   -0.788   0.172   


2.489    1.061    0.186    -0.291   -0.364   -0.770   0.178   


2.509    1.061    0.196    -0.310   -0.380   -0.751   0.184   


2.527    1.061    0.204    -0.326   -0.393   -0.734   0.189   


2.544    1.060    0.212    -0.343   -0.405   -0.717   0.193   


2.560    1.059    0.220    -0.359   -0.416   -0.700   0.196   


2.576    1.058    0.227    -0.374   -0.427   -0.684   0.199   


2.591    1.057    0.234    -0.389   -0.436   -0.668   0.202   


2.606    1.056    0.241    -0.403   -0.444   -0.653   0.204   


2.620    1.055    0.247    -0.417   -0.452   -0.637   0.205   


2.633    1.054    0.254    -0.431   -0.459   -0.622   0.206   


2.646    1.052    0.260    -0.444   -0.466   -0.608   0.207   


2.659    1.051    0.265    -0.458   -0.472   -0.593   0.207   


2.672    1.049    0.271    -0.470   -0.478   -0.579   0.207   


2.685    1.047    0.277    -0.483   -0.483   -0.564   0.206   


2.698    1.045    0.282    -0.496   -0.488   -0.549   0.206   


2.710    1.044    0.288    -0.509   -0.493   -0.535   0.205   


2.723    1.041    0.294    -0.522   -0.497   -0.519   0.203   


2.737    1.039    0.300    -0.535   -0.501   -0.504   0.201   


2.750    1.037    0.306    -0.549   -0.505   -0.488   0.199   


2.764    1.034    0.311    -0.562   -0.508   -0.472   0.197   


2.778    1.031    0.318    -0.576   -0.511   -0.455   0.193   


2.792    1.028    0.324    -0.590   -0.514   -0.438   0.190   


2.807    1.025    0.330    -0.604   -0.516   -0.421   0.186   


2.822    1.022    0.336    -0.618   -0.518   -0.403   0.182   


2.837    1.018    0.343    -0.633   -0.519   -0.385   0.177   


2.853    1.014    0.349    -0.647   -0.520   -0.367   0.171   


2.869    1.010    0.356    -0.662   -0.521   -0.348   0.165   


2.885    1.005    0.363    -0.677   -0.521   -0.328   0.159   


2.903    1.000    0.370    -0.692   -0.521   -0.308   0.151   


2.921    0.995    0.377    -0.708   -0.520   -0.287   0.143   


2.941    0.988    0.385    -0.724   -0.519   -0.264   0.134   


2.962    0.981    0.394    -0.742   -0.517   -0.239   0.123   


2.985    0.973    0.402    -0.760   -0.514   -0.213   0.111   


3.008    0.964    0.411    -0.778   -0.510   -0.186   0.099   


3.032    0.954    0.420    -0.795   -0.506   -0.159   0.085   


3.057    0.944    0.429    -0.813   -0.501   -0.131   0.071   


3.083    0.932    0.439    -0.830   -0.494   -0.102   0.056   


3.110    0.919    0.448    -0.848   -0.488   -0.071   0.039   


3.139    0.905    0.458    -0.865   -0.480   -0.039   0.022   


3.170    0.889    0.468    -0.883   -0.471   -0.005   0.003   


3.202    0.870    0.477    -0.901   -0.460   0.031    -0.017  


3.236    0.850    0.487    -0.918   -0.449   0.068    -0.037  


3.270    0.828    0.495    -0.934   -0.437   0.106    -0.058  


3.300    0.808    0.502    -0.947   -0.427   0.140    -0.076  


3.329    0.786    0.508    -0.959   -0.416   0.173    -0.092  


3.357    0.765    0.513    -0.970   -0.405   0.205    -0.108  


3.384    0.745    0.516    -0.980   -0.395   0.235    -0.121  


3.409    0.724    0.519    -0.988   -0.385   0.265    -0.134  


3.432    0.704    0.521    -0.996   -0.376   0.291    -0.145  


3.453    0.686    0.521    -1.002   -0.367   0.316    -0.154  


3.472    0.669    0.521    -1.008   -0.359   0.339    -0.162  


3.491    0.652    0.521    -1.013   -0.351   0.361    -0.169  


3.509    0.635    0.520    -1.017   -0.344   0.382    -0.176  


3.526    0.619    0.518    -1.022   -0.337   0.402    -0.181  


3.543    0.603    0.516    -1.025   -0.330   0.422    -0.186  


3.559    0.588    0.513    -1.029   -0.323   0.441    -0.191  


3.575    0.573    0.510    -1.032   -0.316   0.459    -0.194  


3.590    0.558    0.507    -1.035   -0.309   0.477    -0.197  


3.605    0.543    0.503    -1.038   -0.303   0.495    -0.200  


3.619    0.529    0.499    -1.040   -0.297   0.512    -0.202  


3.633    0.515    0.495    -1.043   -0.291   0.528    -0.204  


3.647    0.501    0.490    -1.045   -0.285   0.544    -0.205  


3.660    0.487    0.485    -1.047   -0.279   0.559    -0.206  


3.673    0.474    0.480    -1.048   -0.273   0.574    -0.207  


3.686    0.461    0.474    -1.050   -0.267   0.589    -0.207  


3.699    0.449    0.468    -1.052   -0.261   0.603    -0.207  


3.711    0.436    0.462    -1.053   -0.256   0.617    -0.206  


3.724    0.423    0.455    -1.054   -0.250   0.632    -0.205  


3.737    0.410    0.448    -1.056   -0.244   0.646    -0.204  


3.750    0.397    0.440    -1.057   -0.238   0.660    -0.203  


3.764    0.383    0.432    -1.058   -0.231   0.674    -0.201  


3.778    0.370    0.424    -1.059   -0.225   0.689    -0.199  


3.792    0.356    0.414    -1.059   -0.218   0.704    -0.196  


3.807    0.341    0.404    -1.060   -0.211   0.719    -0.193  


3.822    0.327    0.393    -1.061   -0.204   0.734    -0.189  


3.838    0.312    0.381    -1.061   -0.197   0.749    -0.185  


3.854    0.296    0.369    -1.061   -0.189   0.765    -0.180  


3.872    0.280    0.355    -1.061   -0.180   0.781    -0.174  


3.891    0.263    0.339    -1.061   -0.171   0.798    -0.168  


3.910    0.246    0.323    -1.060   -0.162   0.814    -0.161  


3.929    0.230    0.306    -1.060   -0.153   0.830    -0.154  


3.948    0.213    0.289    -1.058   -0.143   0.845    -0.146  


3.968    0.197    0.271    -1.057   -0.133   0.860    -0.137  


3.988    0.181    0.252    -1.055   -0.123   0.875    -0.128  


4.008    0.164    0.232    -1.053   -0.113   0.889    -0.119  


4.029    0.148    0.212    -1.050   -0.103   0.902    -0.109  


4.050    0.131    0.190    -1.047   -0.092   0.916    -0.099  


4.072    0.115    0.168    -1.044   -0.080   0.929    -0.088  


4.096    0.097    0.144    -1.039   -0.068   0.942    -0.076  


4.120    0.080    0.119    -1.034   -0.055   0.955    -0.064  


4.146    0.061    0.092    -1.028   -0.042   0.967    -0.050  


4.173    0.042    0.063    -1.021   -0.028   0.979    -0.036  


4.202    0.021    0.032    -1.012   -0.012   0.991    -0.020  


4.234    -0.001   -0.002   -1.002   0.005    1.003    -0.003  


4.269    -0.025   -0.038   -0.989   0.023    1.014    0.015   


4.304    -0.050   -0.076   -0.974   0.042    1.024    0.034   


4.337    -0.074   -0.110   -0.959   0.059    1.032    0.051   


4.367    -0.095   -0.141   -0.944   0.074    1.039    0.066   


4.394    -0.115   -0.169   -0.929   0.088    1.044    0.080   


4.420    -0.135   -0.195   -0.913   0.101    1.048    0.094   


4.444    -0.154   -0.219   -0.898   0.113    1.051    0.106   


4.468    -0.173   -0.242   -0.882   0.124    1.054    0.118   


4.490    -0.191   -0.264   -0.865   0.134    1.056    0.130   


4.512    -0.209   -0.284   -0.849   0.144    1.058    0.141   


4.534    -0.227   -0.303   -0.832   0.152    1.059    0.151   


4.554    -0.245   -0.322   -0.815   0.160    1.060    0.161   


4.574    -0.263   -0.339   -0.798   0.168    1.061    0.171   


4.594    -0.281   -0.355   -0.780   0.175    1.061    0.181   


4.614    -0.299   -0.371   -0.762   0.181    1.061    0.190   


4.632    -0.316   -0.385   -0.745   0.186    1.061    0.199   


4.650    -0.333   -0.398   -0.727   0.191    1.060    0.207   


4.667    -0.349   -0.410   -0.711   0.194    1.060    0.215   


4.683    -0.365   -0.420   -0.694   0.198    1.059    0.223   


4.698    -0.380   -0.430   -0.678   0.200    1.058    0.230   


4.713    -0.394   -0.439   -0.662   0.202    1.057    0.237   


4.727    -0.409   -0.447   -0.647   0.204    1.056    0.243   


4.741    -0.423   -0.455   -0.632   0.205    1.054    0.250   


4.755    -0.436   -0.462   -0.617   0.206    1.053    0.256   


4.768    -0.450   -0.469   -0.602   0.207    1.052    0.262   


4.781    -0.463   -0.474   -0.587   0.207    1.050    0.268   


4.793    -0.475   -0.480   -0.573   0.207    1.048    0.273   


4.806    -0.488   -0.485   -0.558   0.206    1.047    0.279   


4.819    -0.501   -0.490   -0.544   0.205    1.045    0.285   


4.832    -0.514   -0.494   -0.528   0.204    1.043    0.290   


4.845    -0.527   -0.499   -0.513   0.202    1.041    0.296   


4.858    -0.541   -0.503   -0.497   0.200    1.038    0.302   


4.872    -0.554   -0.506   -0.481   0.198    1.036    0.308   


4.886    -0.568   -0.509   -0.465   0.195    1.033    0.314   


4.900    -0.582   -0.512   -0.448   0.192    1.030    0.320   


4.915    -0.596   -0.515   -0.431   0.188    1.027    0.326   


4.930    -0.610   -0.517   -0.413   0.184    1.024    0.333   


4.945    -0.625   -0.519   -0.395   0.179    1.020    0.339   


4.960    -0.639   -0.520   -0.377   0.174    1.016    0.346   


4.976    -0.654   -0.521   -0.358   0.169    1.012    0.352   


4.993    -0.669   -0.521   -0.339   0.162    1.008    0.359   


5.010    -0.684   -0.521   -0.319   0.155    1.003    0.366   


5.027    -0.699   -0.521   -0.298   0.148    0.998    0.373   


5.046    -0.716   -0.520   -0.276   0.139    0.992    0.381   


5.067    -0.733   -0.518   -0.252   0.129    0.985    0.389   


5.089    -0.750   -0.515   -0.227   0.118    0.977    0.398   


5.112    -0.768   -0.512   -0.200   0.106    0.969    0.407   


5.136    -0.786   -0.508   -0.173   0.093    0.960    0.416   


5.160    -0.804   -0.503   -0.146   0.079    0.949    0.425   


5.186    -0.821   -0.498   -0.117   0.064    0.938    0.434   


5.213    -0.839   -0.491   -0.087   0.048    0.926    0.443   


5.241    -0.857   -0.484   -0.056   0.031    0.912    0.453   


5.270    -0.874   -0.475   -0.023   0.013    0.897    0.463   


5.302    -0.892   -0.465   0.013    -0.007   0.879    0.473   


5.336    -0.910   -0.455   0.050    -0.027   0.860    0.482   


5.369    -0.926   -0.443   0.087    -0.048   0.839    0.491   


5.401    -0.941   -0.432   0.122    -0.067   0.818    0.499   


5.430    -0.953   -0.422   0.155    -0.083   0.798    0.505   


5.458    -0.964   -0.411   0.187    -0.099   0.777    0.510   


5.485    -0.975   -0.401   0.219    -0.114   0.756    0.514   


5.512    -0.984   -0.390   0.249    -0.127   0.735    0.518   


5.537    -0.992   -0.380   0.278    -0.139   0.714    0.520   


5.559    -0.999   -0.371   0.304    -0.150   0.695    0.521   


5.579    -1.005   -0.363   0.327    -0.158   0.678    0.521   


5.599    -1.010   -0.355   0.350    -0.166   0.660    0.521   


5.617    -1.015   -0.347   0.372    -0.173   0.643    0.520   


5.635    -1.020   -0.340   0.393    -0.179   0.626    0.519   


5.652    -1.024   -0.333   0.413    -0.184   0.610    0.517   


5.668    -1.027   -0.326   0.433    -0.189   0.595    0.514   


5.684    -1.031   -0.319   0.451    -0.193   0.579    0.512   


5.700    -1.034   -0.312   0.470    -0.196   0.564    0.508   


5.715    -1.037   -0.306   0.487    -0.199   0.549    0.505   


5.729    -1.039   -0.299   0.505    -0.201   0.535    0.501   


5.744    -1.042   -0.293   0.521    -0.203   0.520    0.496   


5.757    -1.044   -0.287   0.537    -0.205   0.507    0.492   


5.771    -1.046   -0.281   0.553    -0.206   0.493    0.487   


5.784    -1.048   -0.275   0.568    -0.207   0.480    0.482   


5.797    -1.049   -0.269   0.583    -0.207   0.467    0.476   


5.810    -1.051   -0.264   0.597    -0.207   0.454    0.470   


5.823    -1.053   -0.258   0.612    -0.206   0.441    0.464   


5.835    -1.054   -0.252   0.626    -0.206   0.428    0.458   


5.848    -1.055   -0.246   0.640    -0.205   0.415    0.451   


5.862    -1.056   -0.240   0.655    -0.203   0.402    0.443   


5.875    -1.057   -0.234   0.669    -0.202   0.388    0.435   


5.889    -1.058   -0.227   0.684    -0.199   0.375    0.427   


5.903    -1.059   -0.221   0.698    -0.197   0.361    0.418   


5.918    -1.060   -0.214   0.713    -0.194   0.347    0.408   


5.933    -1.060   -0.207   0.728    -0.190   0.332    0.397   


5.948    -1.061   -0.199   0.744    -0.186   0.317    0.386   


5.965    -1.061   -0.192   0.759    -0.182   0.302    0.373   


5.982    -1.061   -0.183   0.775    -0.176   0.286    0.360   


6.001    -1.061   -0.174   0.792    -0.170   0.269    0.344   


6.020    -1.061   -0.165   0.808    -0.163   0.252    0.328   


6.039    -1.060   -0.156   0.825    -0.156   0.235    0.312   


6.058    -1.059   -0.146   0.840    -0.148   0.219    0.294   


6.078    -1.057   -0.137   0.855    -0.140   0.202    0.277   


6.098    -1.056   -0.127   0.870    -0.131   0.186    0.258   


6.118    -1.054   -0.116   0.884    -0.122   0.170    0.239   


6.138    -1.051   -0.106   0.898    -0.112   0.153    0.218   


6.160    -1.048   -0.095   0.912    -0.102   0.137    0.197   


6.182    -1.045   -0.084   0.925    -0.091   0.120    0.175   


6.205    -1.041   -0.072   0.938    -0.080   0.103    0.151   


6.229    -1.036   -0.059   0.951    -0.067   0.085    0.127   


6.254    -1.030   -0.046   0.963    -0.054   0.067    0.100   


6.281    -1.023   -0.032   0.976    -0.040   0.048    0.072   


6.310    -1.015   -0.016   0.988    -0.025   0.027    0.041   


6.342    -1.005   0.000    1.000    -0.008   0.005    0.008   


6.376    -0.993   0.018    1.011    0.010    -0.019   -0.028  


6.411    -0.978   0.037    1.022    0.029    -0.044   -0.066  


6.445    -0.963   0.055    1.030    0.047    -0.068   -0.101  


6.476    -0.948   0.071    1.037    0.063    -0.090   -0.133  


6.503    -0.933   0.085    1.043    0.077    -0.110   -0.162  


6.529    -0.917   0.098    1.047    0.090    -0.130   -0.188  


6.554    -0.902   0.110    1.051    0.103    -0.149   -0.213  


6.579    -0.885   0.121    1.054    0.116    -0.168   -0.237  


6.602    -0.869   0.132    1.056    0.127    -0.187   -0.259  


6.624    -0.852   0.142    1.058    0.138    -0.205   -0.280  


6.646    -0.836   0.151    1.059    0.149    -0.224   -0.300  


6.666    -0.819   0.159    1.060    0.159    -0.242   -0.318  


6.687    -0.801   0.166    1.061    0.169    -0.259   -0.336  


6.707    -0.784   0.173    1.061    0.179    -0.278   -0.352  


6.727    -0.765   0.180    1.061    0.188    -0.296   -0.368  


6.745    -0.748   0.185    1.061    0.197    -0.313   -0.383  


6.764    -0.730   0.190    1.060    0.206    -0.331   -0.396  


6.780    -0.713   0.194    1.060    0.214    -0.346   -0.408  


6.796    -0.697   0.197    1.059    0.221    -0.362   -0.419  


6.812    -0.681   0.200    1.058    0.229    -0.377   -0.429  


6.827    -0.665   0.202    1.057    0.236    -0.392   -0.438  


6.842    -0.649   0.204    1.056    0.242    -0.407   -0.446  


6.856    -0.634   0.205    1.055    0.249    -0.421   -0.454  


6.869    -0.619   0.206    1.053    0.255    -0.434   -0.461  


6.883    -0.604   0.207    1.052    0.261    -0.448   -0.468  


6.896    -0.589   0.207    1.050    0.267    -0.461   -0.474  


6.908    -0.575   0.207    1.049    0.273    -0.474   -0.479  


6.921    -0.560   0.206    1.047    0.278    -0.487   -0.485  


6.934    -0.545   0.205    1.045    0.284    -0.500   -0.489  


6.947    -0.530   0.204    1.043    0.290    -0.513   -0.494  


6.960    -0.515   0.203    1.041    0.296    -0.526   -0.498  


6.973    -0.499   0.201    1.038    0.301    -0.539   -0.502  


6.987    -0.483   0.198    1.036    0.307    -0.553   -0.506  


7.001    -0.466   0.196    1.033    0.313    -0.567   -0.509  


7.015    -0.449   0.192    1.030    0.320    -0.581   -0.512  


7.030    -0.432   0.189    1.027    0.326    -0.595   -0.515  


7.045    -0.415   0.184    1.024    0.332    -0.609   -0.517  


7.060    -0.397   0.180    1.020    0.339    -0.624   -0.518  


7.076    -0.378   0.175    1.017    0.345    -0.638   -0.520  


7.092    -0.359   0.169    1.012    0.352    -0.653   -0.521  


7.108    -0.340   0.163    1.008    0.359    -0.668   -0.521  


7.125    -0.320   0.156    1.003    0.366    -0.683   -0.521  


7.143    -0.299   0.148    0.998    0.373    -0.699   -0.521  


7.162    -0.277   0.139    0.992    0.380    -0.715   -0.520  


7.182    -0.253   0.129    0.985    0.389    -0.732   -0.518  


7.205    -0.228   0.118    0.978    0.397    -0.750   -0.516  


7.228    -0.201   0.106    0.969    0.406    -0.768   -0.512  


7.252    -0.174   0.093    0.960    0.415    -0.786   -0.508  


7.276    -0.146   0.079    0.950    0.424    -0.803   -0.503  


7.302    -0.118   0.064    0.939    0.434    -0.821   -0.498  


7.329    -0.088   0.048    0.926    0.443    -0.839   -0.491  


7.357    -0.056   0.031    0.913    0.453    -0.856   -0.484  


7.387    -0.023   0.013    0.897    0.463    -0.874   -0.475  


7.418    0.013    -0.007   0.880    0.472    -0.892   -0.466  


7.452    0.050    -0.027   0.860    0.482    -0.910   -0.455  


7.486    0.088    -0.048   0.839    0.491    -0.926   -0.443  


7.517    0.123    -0.067   0.818    0.499    -0.941   -0.432  


7.546    0.155    -0.084   0.798    0.505    -0.953   -0.421  


7.575    0.188    -0.100   0.777    0.510    -0.965   -0.411  


7.602    0.219    -0.114   0.756    0.515    -0.975   -0.400  


7.629    0.249    -0.128   0.735    0.518    -0.984   -0.390  


7.654    0.279    -0.140   0.714    0.520    -0.992   -0.380  


7.676    0.305    -0.150   0.695    0.521    -0.999   -0.371  


7.696    0.328    -0.159   0.677    0.521    -1.005   -0.363  


7.716    0.351    -0.166   0.659    0.521    -1.011   -0.355  


7.735    0.373    -0.173   0.642    0.520    -1.015   -0.347  


7.752    0.394    -0.179   0.626    0.519    -1.020   -0.339  


7.769    0.414    -0.184   0.609    0.517    -1.024   -0.332  


7.786    0.434    -0.189   0.594    0.514    -1.028   -0.325  


7.802    0.453    -0.193   0.578    0.511    -1.031   -0.318  


7.817    0.471    -0.196   0.563    0.508    -1.034   -0.312  


7.832    0.489    -0.199   0.548    0.504    -1.037   -0.305  


7.847    0.506    -0.202   0.533    0.500    -1.040   -0.299  


7.861    0.523    -0.203   0.519    0.496    -1.042   -0.293  


7.875    0.539    -0.205   0.505    0.491    -1.044   -0.287  


7.889    0.554    -0.206   0.492    0.486    -1.046   -0.281  


7.902    0.570    -0.207   0.478    0.481    -1.048   -0.275  


7.915    0.585    -0.207   0.465    0.476    -1.050   -0.269  


7.928    0.599    -0.207   0.452    0.470    -1.051   -0.263  


7.940    0.613    -0.206   0.439    0.464    -1.053   -0.257  


7.953    0.628    -0.206   0.426    0.457    -1.054   -0.251  


7.966    0.642    -0.205   0.413    0.450    -1.055   -0.245  


7.980    0.657    -0.203   0.400    0.442    -1.056   -0.239  


7.993    0.671    -0.201   0.386    0.434    -1.057   -0.233  


8.007    0.686    -0.199   0.373    0.426    -1.058   -0.227  


8.021    0.700    -0.196   0.359    0.416    -1.059   -0.220  


